ROUND  1st QUARTILE    3rd QUARTILE    IQR       OUTLIERS
1      -0.0396         0.0461          0.0857    ['8H-N']

2      -0.0367         0.0422          0.0789    ['11H-N']

3      -0.0375         0.0379          0.0755    ['70H-N']

4      -0.0268         0.0244          0.0512    ['7H-N', '13H-N', '42H-N', '45H-N']

5      -0.0255         0.0221          0.0476    ['41H-N']

6      -0.0249         0.0199          0.0448    ['71H-N']

7      -0.0219         0.0178          0.0396    ['5H-N', '50H-N']

8      -0.0195         0.0192          0.0387    []    
