ROUND  1st QUARTILE    3rd QUARTILE    IQR       OUTLIERS
1      -0.0396         0.0461          0.0857    ['8H-N']

1      -0.0263         0.0359          0.0623    ['8H-N', '11H-N', '70H-N']

2      -0.0268         0.0244          0.0512    ['7H-N', '13H-N', '42H-N', '45H-N']

2      -0.0163         0.0343          0.0506    ['7H-N', '42H-N', '45H-N', '71H-N']

3      -0.0243         0.0185          0.0428    ['41H-N']

3      -0.0182         0.0289          0.0471    ['41H-N']

4      -0.0219         0.0178          0.0396    ['5H-N', '50H-N']

4      -0.0191         0.0271          0.0462    []    

5      -0.0195         0.0192          0.0387    []    

5      -0.0217         0.0251          0.0468    []    
